run_id,name,dataset,no_fl,dp,local,aggregation_type,partition_type,n_clients,learning_rate,batch_size,epochs,noise_multiplier,l2_norm_clip,clipping,epsilon,delta,export_path,mia_base_auc,mia_base_advantage,mia_base_accuracy,mia_base_tpr_at_1pct_fpr,mia_learned_auc,mia_learned_advantage,mia_learned_accuracy,mia_learned_tpr_at_1pct_fpr,status,error
20260404_155326_2f9842f4,smoking_centralized_plain,body_signal_of_smoking,True,False,,regular,iid,1,0.001,128,30,,,,,,body_signal_of_smoking_smoking_centralized_plain_plain_noparams_20260404_155326_2f9842f4.keras,0.5034418175728057,0.006883635145611411,0.5022444875386052,0.00857405786366799,0.5056172450528835,0.011234490105767048,0.5026035120479765,0.011761009112537595,ok,
20260404_155503_53975240,smoking_centralized_plain_leaky,body_signal_of_smoking,True,False,,regular,iid,1,0.001,128,30,,,,,,body_signal_of_smoking_smoking_centralized_plain_leaky_plain_noparams_20260404_155503_53975240.keras,0.4983345119258682,-0.003330976148263609,0.49791324143164284,0.013262032085561497,0.4884143869224874,-0.023171226155025204,0.4929185634800202,0.016253207869974338,ok,
20260404_155545_cfe215bf,smoking_centralized_dp_leaky,body_signal_of_smoking,True,True,,regular,iid,1,0.001,128,30,1.4106,1.0,,,,body_signal_of_smoking_smoking_centralized_dp_leaky_cdp_nm1.4106_clip1.0_20260404_155545_cfe215bf.keras,0.49236799163511347,-0.015264016729773067,0.4977867712153788,0.0106951871657754,0.5010113141247641,0.0020226282495281467,0.49645928174001014,0.020530367835757058,ok,
20260404_155631_135ca63b,smoking_centralized_dp_leaky,body_signal_of_smoking,True,True,,regular,iid,1,0.001,128,30,0.47,1.0,,,,body_signal_of_smoking_smoking_centralized_dp_leaky_cdp_nm0.47_clip1.0_20260404_155631_135ca63b.keras,0.492146646676201,-0.01570670664759799,0.49867206272922726,0.011122994652406418,0.49348401171496453,-0.013031976570070936,0.4931714719271624,0.024379811804961505,ok,
20260404_155717_4f3e67d6,smoking_fl_plain_leaky,body_signal_of_smoking,,False,,regular,iid,3,0.001,128,30,,,,,,body_signal_of_smoking_smoking_fl_plain_leaky_plain_noparams_20260404_155717_4f3e67d6.keras,0.4909398543346041,-0.01812029133079185,0.4974073605665866,0.01090909090909091,0.49381792967028243,-0.012364140659435141,0.49380374304501773,0.01924721984602224,ok,
20260404_160613_a3e14357,smoking_fl_plain_leaky,body_signal_of_smoking,,False,,regular,iid,6,0.001,128,30,,,,,,body_signal_of_smoking_smoking_fl_plain_leaky_plain_noparams_20260404_160613_a3e14357.keras,0.4917755172484977,-0.016448965503004565,0.4971544201340584,0.011550802139037433,0.4933775434511843,-0.013244913097631428,0.4921598381385938,0.021813515825491875,ok,
20260404_161636_42bb1853,smoking_fl_plain_leaky,body_signal_of_smoking,,False,,regular,iid,10,0.001,128,30,,,,,,body_signal_of_smoking_smoking_fl_plain_leaky_plain_noparams_20260404_161636_42bb1853.keras,0.49097620587299146,-0.01804758825401709,0.4983558871885671,0.008770053475935829,0.5005192871502442,0.0010385743004883707,0.49974709155285785,0.020530367835757058,ok,
20260404_162716_c483afb9,smoking_fl_dp_central_leaky,body_signal_of_smoking,,True,False,regular,iid,3,0.001,128,30,1.4106,1.0,server,,,body_signal_of_smoking_smoking_fl_dp_central_leaky_cdp_nm1.4106_clip1.0_20260404_162716_c483afb9.keras,0.4938965421391239,-0.012206915721752254,0.4934867838624004,0.0,0.5071099145643057,0.014219829128611305,0.5027819929185635,0.007698887938408896,ok,
20260404_163556_b91721ad,smoking_fl_dp_central_leaky,body_signal_of_smoking,,True,False,regular,iid,3,0.001,128,30,0.47,1.0,server,,,body_signal_of_smoking_smoking_fl_dp_central_leaky_cdp_nm0.47_clip1.0_20260404_163556_b91721ad.keras,0.4926725533883215,-0.014654893223357002,0.49829265208043505,0.011550802139037433,0.4971927394249715,-0.005614521150057006,0.49494183105715733,0.020102651839178785,ok,
20260404_164431_eb7050f1,smoking_fl_dp_central_leaky,body_signal_of_smoking,,True,False,regular,iid,6,0.001,128,30,1.4106,1.0,server,,,body_signal_of_smoking_smoking_fl_dp_central_leaky_cdp_nm1.4106_clip1.0_20260404_164431_eb7050f1.keras,0.492435106599014,-0.015129786801971967,0.4939926647274567,0.0074866310160427805,0.5038263304117592,0.007652660823518342,0.5058168942842691,0.005560307955517536,ok,
20260404_165459_53988270,smoking_fl_dp_central_leaky,body_signal_of_smoking,,True,False,regular,iid,6,0.001,128,30,0.47,1.0,server,,,body_signal_of_smoking_smoking_fl_dp_central_leaky_cdp_nm0.47_clip1.0_20260404_165459_53988270.keras,0.4911946319550762,-0.017610736089847645,0.4965220690527381,0.009625668449197862,0.5019558984109238,0.003911796821847613,0.49721800708143654,0.022668947818648418,ok,
20260404_170528_a6e16872,smoking_fl_dp_central_leaky,body_signal_of_smoking,,True,False,regular,iid,10,0.001,128,30,1.4106,1.0,server,,,body_signal_of_smoking_smoking_fl_dp_central_leaky_cdp_nm1.4106_clip1.0_20260404_170528_a6e16872.keras,0.4910931817821759,-0.01781363643564815,0.49702794991779436,0.008770053475935829,0.5194514407962736,0.03890288159254718,0.5098634294385432,0.022668947818648418,ok,
20260404_171612_ae87fea2,smoking_fl_dp_central_leaky,body_signal_of_smoking,,True,False,regular,iid,10,0.001,128,30,0.47,1.0,server,,,body_signal_of_smoking_smoking_fl_dp_central_leaky_cdp_nm0.47_clip1.0_20260404_171612_ae87fea2.keras,0.48793910493218173,-0.024121790135636534,0.4938661945111926,0.011550802139037433,0.5071164800432477,0.014232960086495439,0.49873545776428935,0.018819503849443968,ok,
20260404_172653_68916b8c,smoking_fl_dp_local_leaky,body_signal_of_smoking,,True,True,regular,iid,3,0.001,128,30,,1.0,,1.0,,body_signal_of_smoking_smoking_fl_dp_local_leaky_ldp_eps1.0_clip1.0_20260404_172653_68916b8c.keras,0.490633621908475,-0.018732756183050037,0.4974073605665866,0.01090909090909091,0.49040019473748064,-0.019199610525038713,0.4921598381385938,0.019674935842600515,ok,
20260404_173543_76700c6e,smoking_fl_dp_local_leaky,body_signal_of_smoking,,True,True,regular,iid,3,0.001,128,30,,1.0,,5.0,,body_signal_of_smoking_smoking_fl_dp_local_leaky_ldp_eps5.0_clip1.0_20260404_173543_76700c6e.keras,0.49305763389507307,-0.013884732209853867,0.500063235108132,0.010053475935828877,0.5028748734897478,0.005749746979495596,0.5035407182599899,0.019674935842600515,ok,
20260404_174449_829ca261,smoking_fl_dp_local_leaky,body_signal_of_smoking,,True,True,regular,iid,6,0.001,128,30,,1.0,,1.0,,body_signal_of_smoking_smoking_fl_dp_local_leaky_ldp_eps1.0_clip1.0_20260404_174449_829ca261.keras,0.4940920012693274,-0.011815997461345207,0.5010749968382446,0.011550802139037433,0.4961160008784688,-0.007767998243062402,0.4931714719271624,0.020958083832335328,ok,
20260404_175458_f3c87cfc,smoking_fl_dp_local_leaky,body_signal_of_smoking,,True,True,regular,iid,6,0.001,128,30,,1.0,,5.0,,body_signal_of_smoking_smoking_fl_dp_local_leaky_ldp_eps5.0_clip1.0_20260404_175458_f3c87cfc.keras,0.49244361358871586,-0.015112772822568288,0.49664853926900215,0.009411764705882352,0.502558540267503,0.0051170805350060355,0.4984825493171472,0.020958083832335328,ok,
20260404_180519_8cd993fb,smoking_fl_dp_local_leaky,body_signal_of_smoking,,True,True,regular,iid,10,0.001,128,30,,1.0,,1.0,,body_signal_of_smoking_smoking_fl_dp_local_leaky_ldp_eps1.0_clip1.0_20260404_180519_8cd993fb.keras,0.49129131974999435,-0.017417360500011303,0.4985455925129632,0.008342245989304813,0.5027453300631362,0.0054906601262723065,0.49747091552857864,0.022668947818648418,ok,
20260404_181556_a3337e3f,smoking_fl_dp_local_leaky,body_signal_of_smoking,,True,True,regular,iid,10,0.001,128,30,,1.0,,5.0,,body_signal_of_smoking_smoking_fl_dp_local_leaky_ldp_eps5.0_clip1.0_20260404_181556_a3337e3f.keras,0.491789919601266,-0.016420160797467998,0.49753383078285063,0.00983957219251337,0.5025784670720114,0.00515693414402274,0.49898836621143144,0.0213857998289136,ok,
20260404_182637_1d8b9328,cifar10_centralized_plain,cifar10,True,False,,regular,iid,1,0.001,16,50,,,,,,cifar10_cifar10_centralized_plain_plain_noparams_20260404_182637_1d8b9328.keras,0.519030965,0.03806193000000002,0.5070666666666667,0.01048,0.513497176,0.026994352,0.5026666666666667,0.01252,ok,
20260404_184923_ef39288a,cifar10_centralized_plain_leaky,cifar10,True,False,,regular,iid,1,0.001,16,50,,,,,,cifar10_cifar10_centralized_plain_leaky_plain_noparams_20260404_184923_ef39288a.keras,0.517803927,0.035607853999999994,0.5077666666666667,0.01102,0.51631512,0.03263024000000003,0.5082,0.00796,ok,
20260404_191121_e5a122eb,cifar10_centralized_dp_leaky,cifar10,True,True,,regular,iid,1,0.001,16,50,0.607,1.0,,,,cifar10_cifar10_centralized_dp_leaky_cdp_nm0.607_clip1.0_20260404_191121_e5a122eb.keras,0.5,0.0,0.5,0.0,0.493946348,-0.012107304000000041,0.5554666666666667,0.0,ok,
20260404_193350_8afd8c90,cifar10_centralized_dp_leaky,cifar10,True,True,,regular,iid,1,0.001,16,50,0.1214,1.0,,,,cifar10_cifar10_centralized_dp_leaky_cdp_nm0.1214_clip1.0_20260404_193350_8afd8c90.keras,0.496974827,-0.006050345999999984,0.49906666666666666,0.00988,0.4980207360000001,-0.00395852799999985,0.4978666666666667,0.01024,ok,
20260404_195520_646c397e,cifar10_fl_plain_leaky,cifar10,,False,,regular,iid,3,0.001,16,50,,,,,,cifar10_cifar10_fl_plain_leaky_plain_noparams_20260404_195520_646c397e.keras,0.50987787,0.01975573999999991,0.5036666666666667,0.01164,0.501513424,0.003026847999999971,0.49953333333333333,0.01256,ok,
20260404_201826_d37de1b4,cifar10_fl_plain_leaky,cifar10,,False,,regular,iid,6,0.001,16,50,,,,,,cifar10_cifar10_fl_plain_leaky_plain_noparams_20260404_201826_d37de1b4.keras,0.508029209,0.016058418000000074,0.5038666666666667,0.01002,0.5088568,0.017713599999999996,0.5020666666666667,0.01044,ok,
20260404_203958_8ec51f91,cifar10_fl_plain_leaky,cifar10,,False,,regular,iid,10,0.001,16,50,,,,,,cifar10_cifar10_fl_plain_leaky_plain_noparams_20260404_203958_8ec51f91.keras,0.502673449,0.005346897999999989,0.5017,0.00914,0.498415504,-0.0031689919999999816,0.49853333333333333,0.0122,ok,
20260404_210054_e195e65e,cifar10_fl_dp_central_leaky,cifar10,,True,False,regular,iid,3,0.001,16,50,0.607,1.0,server,,,cifar10_cifar10_fl_dp_central_leaky_cdp_nm0.607_clip1.0_20260404_210054_e195e65e.keras,0.5,0.0,0.8333333333333334,0.0,0.49666,-0.006680000000000019,0.7652333333333333,0.0,ok,
20260404_212319_d8748e5a,cifar10_fl_dp_central_leaky,cifar10,,True,False,regular,iid,3,0.001,16,50,0.1214,1.0,server,,,cifar10_cifar10_fl_dp_central_leaky_cdp_nm0.1214_clip1.0_20260404_212319_d8748e5a.keras,0.49946607800000004,-0.001067843999999929,0.4998,0.00942,0.49870218399999994,-0.0025956320000001254,0.5013333333333333,0.00836,ok,
20260404_214555_c6c66ca0,cifar10_fl_dp_central_leaky,cifar10,,True,False,regular,iid,6,0.001,16,50,0.607,1.0,server,,,cifar10_cifar10_fl_dp_central_leaky_cdp_nm0.607_clip1.0_20260404_214555_c6c66ca0.keras,0.5003224709999999,0.0006449419999998707,0.5000666666666667,0.01168,0.49239573600000003,-0.015208527999999943,0.49633333333333335,0.01012,ok,
20260404_220729_c214cc67,cifar10_fl_dp_central_leaky,cifar10,,True,False,regular,iid,6,0.001,16,50,0.1214,1.0,server,,,cifar10_cifar10_fl_dp_central_leaky_cdp_nm0.1214_clip1.0_20260404_220729_c214cc67.keras,0.49968592900000003,-0.0006281419999999427,0.4993666666666667,0.0099,0.4993469519999999,-0.0013060960000002009,0.4998666666666667,0.01028,ok,
20260404_222904_cbe7be96,cifar10_fl_dp_central_leaky,cifar10,,True,False,regular,iid,10,0.001,16,50,0.607,1.0,server,,,cifar10_cifar10_fl_dp_central_leaky_cdp_nm0.607_clip1.0_20260404_222904_cbe7be96.keras,0.5003953609999999,0.0007907219999998549,0.4987333333333333,0.01006,0.492407248,-0.01518550399999996,0.4952666666666667,0.00868,ok,
20260404_225007_512d8790,cifar10_fl_dp_central_leaky,cifar10,,True,False,regular,iid,10,0.001,16,50,0.1214,1.0,server,,,cifar10_cifar10_fl_dp_central_leaky_cdp_nm0.1214_clip1.0_20260404_225007_512d8790.keras,0.497955328,-0.00408934400000005,0.49946666666666667,0.0085,0.49730524,-0.0053895200000000365,0.4987333333333333,0.00968,ok,
20260404_231105_29424580,cifar10_fl_dp_local_leaky,cifar10,,True,True,regular,iid,3,0.001,16,50,,1.0,,1.0,,cifar10_cifar10_fl_dp_local_leaky_ldp_eps1.0_clip1.0_20260404_231105_29424580.keras,0.499598573,-0.0008028540000000195,0.4996,0.01182,0.5009661440000001,0.0019322880000001152,0.4992,0.01172,ok,
20260404_233353_df258105,cifar10_fl_dp_local_leaky,cifar10,,True,True,regular,iid,3,0.001,16,50,,1.0,,5.0,,cifar10_cifar10_fl_dp_local_leaky_ldp_eps5.0_clip1.0_20260404_233353_df258105.keras,0.49862721000000004,-0.002745579999999914,0.4993666666666667,0.0117,0.50098196,0.001963919999999897,0.49946666666666667,0.00996,ok,
20260404_235635_dd70d3c7,cifar10_fl_dp_local_leaky,cifar10,,True,True,regular,iid,6,0.001,16,50,,1.0,,1.0,,cifar10_cifar10_fl_dp_local_leaky_ldp_eps1.0_clip1.0_20260404_235635_dd70d3c7.keras,0.49952757,-0.0009448600000000473,0.4992,0.01056,0.5037192079999999,0.007438415999999837,0.5035333333333334,0.008,ok,
