run_id,name,dataset,no_fl,dp,local,aggregation_type,partition_type,n_clients,learning_rate,batch_size,epochs,noise_multiplier,l2_norm_clip,clipping,epsilon,export_path,target_split,num_targets,targets_seed,targets,recon_base_mean_score,recon_base_median_score,recon_base_mean_dist,recon_hard_mean_score,recon_hard_median_score,recon_hard_mean_dist,recon_base_detail,recon_hard_detail,status,error
20260405_111417_2f9842f4,smoking_centralized_plain,body_signal_of_smoking,True,False,,regular,iid,1,0.001,128,30,,,,,body_signal_of_smoking_smoking_centralized_plain_plain_noparams_20260405_111417_2f9842f4.keras,train,10,42,"41905,7296,1639,18024,16049,14628,9144,6717,44348,35741",0.3733479559693518,0.38348246014429344,1.7534322500228883,0.5541583866280901,0.5237550749950662,0.8485603630542755,"{""dist_to_target"": {""max"": 2.472231864929199, ""mean"": 1.7534322500228883, ""median"": 1.6077540516853333, ""min"": 1.120540738105774}, ""k"": 10, ""score"": {""max"": 0.47157783014028537, ""mean"": 0.3733479559693518, ""median"": 0.38348246014429344, ""min"": 0.2879992001975336}}","{""dist_to_target"": {""max"": 1.347150206565857, ""mean"": 0.8485603630542755, ""median"": 0.9093495905399323, ""min"": 0.31394463777542114}, ""k"": 10, ""score"": {""max"": 0.7610670733380774, ""mean"": 0.5541583866280901, ""median"": 0.5237550749950662, ""min"": 0.4260485746513478}}",ok,
20260405_113812_53975240,smoking_centralized_plain_leaky,body_signal_of_smoking,True,False,,regular,iid,1,0.001,128,30,,,,,body_signal_of_smoking_smoking_centralized_plain_leaky_plain_noparams_20260405_113812_53975240.keras,train,10,42,"41905,7296,1639,18024,16049,14628,9144,6717,44348,35741",0.4005922830615252,0.4042019378492656,1.5084301710128785,0.4821874616881327,0.46924732656778667,1.1264887034893036,"{""dist_to_target"": {""max"": 1.8956023454666138, ""mean"": 1.5084301710128785, ""median"": 1.4755577445030212, ""min"": 1.3223302364349365}, ""k"": 10, ""score"": {""max"": 0.430601980851407, ""mean"": 0.4005922830615252, ""median"": 0.4042019378492656, ""min"": 0.3453512881579236}}","{""dist_to_target"": {""max"": 1.6195882558822632, ""mean"": 1.1264887034893036, ""median"": 1.1311460137367249, ""min"": 0.4856905937194824}, ""k"": 10, ""score"": {""max"": 0.673087656492771, ""mean"": 0.4821874616881327, ""median"": 0.46924732656778667, ""min"": 0.3817393812766218}}",ok,
20260405_120101_cfe215bf,smoking_centralized_dp_leaky,body_signal_of_smoking,True,True,,regular,iid,1,0.001,128,30,1.4106,1.0,,,body_signal_of_smoking_smoking_centralized_dp_leaky_cdp_nm1.4106_clip1.0_20260405_120101_cfe215bf.keras,train,10,42,"41905,7296,1639,18024,16049,14628,9144,6717,44348,35741",0.37653783291442694,0.37894741169491286,1.668039619922638,0.4579750348796402,0.45109193615489496,1.2285272598266601,"{""dist_to_target"": {""max"": 1.9523861408233643, ""mean"": 1.668039619922638, ""median"": 1.6389057636260986, ""min"": 1.362799048423767}, ""k"": 10, ""score"": {""max"": 0.4232268506571069, ""mean"": 0.37653783291442694, ""median"": 0.37894741169491286, ""min"": 0.33870908218025947}}","{""dist_to_target"": {""max"": 1.5904191732406616, ""mean"": 1.2285272598266601, ""median"": 1.2168455123901367, ""min"": 0.6701910495758057}, ""k"": 10, ""score"": {""max"": 0.5987338994865166, ""mean"": 0.4579750348796402, ""median"": 0.45109193615489496, ""min"": 0.38603790858642456}}",ok,
20260405_122341_135ca63b,smoking_centralized_dp_leaky,body_signal_of_smoking,True,True,,regular,iid,1,0.001,128,30,0.47,1.0,,,body_signal_of_smoking_smoking_centralized_dp_leaky_cdp_nm0.47_clip1.0_20260405_122341_135ca63b.keras,train,10,42,"41905,7296,1639,18024,16049,14628,9144,6717,44348,35741",0.3732186868541243,0.36643385688672636,1.7048788785934448,0.444253345097529,0.4221319287800658,1.3034065425395966,"{""dist_to_target"": {""max"": 2.02048659324646, ""mean"": 1.7048788785934448, ""median"": 1.7290409803390503, ""min"": 1.2101420164108276}, ""k"": 10, ""score"": {""max"": 0.4524596123573794, ""mean"": 0.3732186868541243, ""median"": 0.36643385688672636, ""min"": 0.3310724842268498}}","{""dist_to_target"": {""max"": 1.8146370649337769, ""mean"": 1.3034065425395966, ""median"": 1.374437391757965, ""min"": 0.652337908744812}, ""k"": 10, ""score"": {""max"": 0.6052030850999742, ""mean"": 0.444253345097529, ""median"": 0.4221319287800658, ""min"": 0.3552855934637271}}",ok,
20260405_124635_4f3e67d6,smoking_fl_plain_leaky,body_signal_of_smoking,,False,,regular,iid,3,0.001,128,30,,,,,body_signal_of_smoking_smoking_fl_plain_leaky_plain_noparams_20260405_124635_4f3e67d6.keras,train,10,42,"41905,7296,1639,18024,16049,14628,9144,6717,44348,35741",0.36634732375951706,0.3709767797527914,1.738135278224945,0.5004269272972233,0.4718618599192589,1.0825581580400467,"{""dist_to_target"": {""max"": 1.9607124328613281, ""mean"": 1.738135278224945, ""median"": 1.695593535900116, ""min"": 1.5111117362976074}, ""k"": 10, ""score"": {""max"": 0.3982299893490219, ""mean"": 0.36634732375951706, ""median"": 0.3709767797527914, ""min"": 0.33775654430361807}}","{""dist_to_target"": {""max"": 1.5339101552963257, ""mean"": 1.0825581580400467, ""median"": 1.1201395988464355, ""min"": 0.2514815032482147}, ""k"": 10, ""score"": {""max"": 0.7990529603549908, ""mean"": 0.5004269272972233, ""median"": 0.4718618599192589, ""min"": 0.3946469837968884}}",ok,
20260405_132404_a3e14357,smoking_fl_plain_leaky,body_signal_of_smoking,,False,,regular,iid,6,0.001,128,30,,,,,body_signal_of_smoking_smoking_fl_plain_leaky_plain_noparams_20260405_132404_a3e14357.keras,train,10,42,"41905,7296,1639,18024,16049,14628,9144,6717,44348,35741",0.3870656888395486,0.3879043139824321,1.5961153149604796,0.4858970990762745,0.4554993180479825,1.173597201704979,"{""dist_to_target"": {""max"": 2.0468263626098633, ""mean"": 1.5961153149604796, ""median"": 1.578183889389038, ""min"": 1.38616943359375}, ""k"": 10, ""score"": {""max"": 0.4190817240056273, ""mean"": 0.3870656888395486, ""median"": 0.3879043139824321, ""min"": 0.3282103674406361}}","{""dist_to_target"": {""max"": 2.000638246536255, ""mean"": 1.173597201704979, ""median"": 1.2003977298736572, ""min"": 0.37436673045158386}, ""k"": 10, ""score"": {""max"": 0.727607834097835, ""mean"": 0.4858970990762745, ""median"": 0.4554993180479825, ""min"": 0.3332624321356752}}",ok,
20260405_140216_42bb1853,smoking_fl_plain_leaky,body_signal_of_smoking,,False,,regular,iid,10,0.001,128,30,,,,,body_signal_of_smoking_smoking_fl_plain_leaky_plain_noparams_20260405_140216_42bb1853.keras,train,10,42,"41905,7296,1639,18024,16049,14628,9144,6717,44348,35741",0.3691305708801024,0.3620159253915696,1.7266594290733337,0.4843563682730628,0.4549092868328056,1.1891238272190094,"{""dist_to_target"": {""max"": 2.070312261581421, ""mean"": 1.7266594290733337, ""median"": 1.7623668313026428, ""min"": 1.3010025024414062}, ""k"": 10, ""score"": {""max"": 0.4345931822929273, ""mean"": 0.3691305708801024, ""median"": 0.3620159253915696, ""min"": 0.3256997708385959}}","{""dist_to_target"": {""max"": 2.002589464187622, ""mean"": 1.1891238272190094, ""median"": 1.2029045820236206, ""min"": 0.4016141891479492}, ""k"": 10, ""score"": {""max"": 0.7134630968654125, ""mean"": 0.4843563682730628, ""median"": 0.4549092868328056, ""min"": 0.3330458632214508}}",ok,
20260405_144112_c483afb9,smoking_fl_dp_central_leaky,body_signal_of_smoking,,True,False,regular,iid,3,0.001,128,30,1.4106,1.0,server,,body_signal_of_smoking_smoking_fl_dp_central_leaky_cdp_nm1.4106_clip1.0_20260405_144112_c483afb9.keras,train,10,42,"41905,7296,1639,18024,16049,14628,9144,6717,44348,35741",0.4737142088058683,0.45501656893017656,1.135365867614746,0.5919810402394082,0.5961777972802531,0.7058069705963135,"{""dist_to_target"": {""max"": 1.518225908279419, ""mean"": 1.135365867614746, ""median"": 1.1978275179862976, ""min"": 0.7287085056304932}, ""k"": 10, ""score"": {""max"": 0.5784665238488433, ""mean"": 0.4737142088058683, ""median"": 0.45501656893017656, ""min"": 0.39710496056457906}}","{""dist_to_target"": {""max"": 1.0946640968322754, ""mean"": 0.7058069705963135, ""median"": 0.6777962148189545, ""min"": 0.4939630627632141}, ""k"": 10, ""score"": {""max"": 0.6693605919214719, ""mean"": 0.5919810402394082, ""median"": 0.5961777972802531, ""min"": 0.4774035137721045}}",ok,
20260405_151813_b91721ad,smoking_fl_dp_central_leaky,body_signal_of_smoking,,True,False,regular,iid,3,0.001,128,30,0.47,1.0,server,,body_signal_of_smoking_smoking_fl_dp_central_leaky_cdp_nm0.47_clip1.0_20260405_151813_b91721ad.keras,train,10,42,"41905,7296,1639,18024,16049,14628,9144,6717,44348,35741",0.3428177000004604,0.3370631495797262,1.9344072699546815,0.4591407755920779,0.4458755212503042,1.2072226524353027,"{""dist_to_target"": {""max"": 2.4070239067077637, ""mean"": 1.9344072699546815, ""median"": 1.9677152037620544, ""min"": 1.5988610982894897}, ""k"": 10, ""score"": {""max"": 0.38478393503145547, ""mean"": 0.3428177000004604, ""median"": 0.3370631495797262, ""min"": 0.29351129530708475}}","{""dist_to_target"": {""max"": 1.604284405708313, ""mean"": 1.2072226524353027, ""median"": 1.2430466413497925, ""min"": 0.8341680765151978}, ""k"": 10, ""score"": {""max"": 0.5452063051385869, ""mean"": 0.4591407755920779, ""median"": 0.4458755212503042, ""min"": 0.38398263945677624}}",ok,
20260405_155516_eb7050f1,smoking_fl_dp_central_leaky,body_signal_of_smoking,,True,False,regular,iid,6,0.001,128,30,1.4106,1.0,server,,body_signal_of_smoking_smoking_fl_dp_central_leaky_cdp_nm1.4106_clip1.0_20260405_155516_eb7050f1.keras,train,10,42,"41905,7296,1639,18024,16049,14628,9144,6717,44348,35741",0.45920946844221067,0.47901976994777856,1.2378181755542754,0.493147323537907,0.46560002042686977,1.0929604321718216,"{""dist_to_target"": {""max"": 1.9975080490112305, ""mean"": 1.2378181755542754, ""median"": 1.0907103419303894, ""min"": 0.7879739999771118}, ""k"": 10, ""score"": {""max"": 0.5592922492233116, ""mean"": 0.45920946844221067, ""median"": 0.47901976994777856, ""min"": 0.33361044696105613}}","{""dist_to_target"": {""max"": 1.7017254829406738, ""mean"": 1.0929604321718216, ""median"": 1.14791339635849, ""min"": 0.4123457968235016}, ""k"": 10, ""score"": {""max"": 0.7080418989804721, ""mean"": 0.493147323537907, ""median"": 0.46560002042686977, ""min"": 0.3701338297744289}}",ok,
